function_entry	function_name	string
ffffffffbfc33974	FUN_ffffffffbfc33974	SPI%d: Restart %s\n
ffffffffbfc33b3c	FUN_ffffffffbfc33b3c	SPI%d: Rx is synchronized, start sending calendar data\n
ffffffffbfc33b3c	FUN_ffffffffbfc33b3c	SPI%d: Waiting to sync on STX[%d] STAT\n
ffffffffbfc33b3c	FUN_ffffffffbfc33b3c	SPI%d: Timeout\n
ffffffffbfc33cd0	FUN_ffffffffbfc33cd0	SPI%d: Waiting to see TsClk...\n
ffffffffbfc33cd0	FUN_ffffffffbfc33cd0	SPI%d: Waiting to see RsClk...\n
ffffffffbfc33cd0	FUN_ffffffffbfc33cd0	SPI%d: Timeout\n
ffffffffbfc33e00	FUN_ffffffffbfc33e00	SPI%d: Waiting for training\n
ffffffffbfc33e00	FUN_ffffffffbfc33e00	SPI%d: Timeout\n
ffffffffbfc340fc	FUN_ffffffffbfc340fc	SPI%d: Rx is now up\n
